,,player_id,player_name,team_id,singles,doubles,triples,home_runs,at_bats,walked,hit_by_pitch,plate_appearances,stolen_bases,caught_stealing,struck_out,runs,runs_batted_in,sac_flies,groundouts,flyouts,popouts,lineouts,positiontype,hitting,TB,BA,OBP,SLG,OPS,BABIP,SB%,K%,BB%,ISO
league,59,6887d45a18e81770515b846a,Ixia Pemberton,6807b079ad144ec1a39c65bb,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,,0.5,0.0,0.0
league,60,6887d45a18e81770515b8556,Cool Lan,6807b91cad144ec1a39c6640,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0
league,61,68419b04183c892d88a101a1,Piper Sherman,68065ab9709b8b12f78c2a9e,48,21,0,17,363,47,13,431,24,9,99,52,58,7,73,50,18,26,,86,158,0.2369146005509642,0.34,0.43526170798898073,0.7747965917099109,0.27165354330708663,0.7272727272727273,0.2296983758700696,0.10904872389791183,0.19834710743801653
league,62,6840face88056169e007851c,Bobo Christie,6807c8564251378d1ace110c,3,0,0,0,7,1,0,8,0,0,3,2,1,0,1,0,0,0,,3,3,0.42857142857142855,0.5,0.42857142857142855,0.9285714285714286,0.75,,0.375,0.125,0.0
league,63,68411aae8ba62cf2ce8d916d,Big Lorenz,6809cdb51d2800e67a866891,46,11,0,12,348,58,11,422,27,7,96,39,41,2,90,41,18,23,,69,116,0.19827586206896552,0.33,0.3333333333333333,0.6626889419252188,0.23553719008264462,0.7941176470588235,0.22748815165876776,0.13744075829383887,0.1350574712643678
league,64,6805db0dac48194de3cd4164,Ellen Çela,6805db0dac48194de3cd4160,34,9,1,6,179,15,7,205,4,3,40,20,35,4,30,30,13,11,,50,79,0.27932960893854747,0.35,0.441340782122905,0.792560294318027,0.32116788321167883,0.5714285714285714,0.1951219512195122,0.07317073170731707,0.16201117318435754
league,65,6887d45718e81770515b80b7,Clara Marte,68077beaee9f269dec7251e9,1,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,,1,1,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.5,0.0
league,66,68e73aac8a70dcdd6a50bf42,Jazz Bartlett,68e739fdc82e39151b79878e,6,2,0,1,64,17,4,85,5,1,29,7,5,0,7,12,1,6,,9,14,0.140625,0.35,0.21875,0.5716911764705883,0.23529411764705882,0.8333333333333334,0.3411764705882353,0.2,0.078125
league,67,68411a9af7b5d3bf791d69be,Ava Shoebill,6809cdb51d2800e67a866891,50,10,0,8,262,41,3,310,13,2,79,26,30,2,58,25,15,10,,68,102,0.2595419847328244,0.36,0.3893129770992366,0.7529493407356003,0.3389830508474576,0.8666666666666667,0.25483870967741934,0.13225806451612904,0.1297709923664122
league,68,68419ab6896f631e9d6894b4,Clearly Aldridge,68065ab9709b8b12f78c2a9e,61,12,3,20,433,35,15,485,13,4,151,67,47,0,79,51,21,27,,96,174,0.22170900692840648,0.3,0.4018475750577367,0.704125007769952,0.2900763358778626,0.7647058823529411,0.311340206185567,0.07216494845360824,0.18013856812933024
